account_number,customer_ref,account_type,currency,opened_on,risk_rating,status
MT5000000014,C00001,SAVINGS,INR,2024-01-27,LOW,ACTIVE
MT5000000069,C00001,NRE,INR,2025-03-21,LOW,ACTIVE
MT5000000150,C00002,BUSINESS,INR,2021-07-14,LOW,ACTIVE
MT5000000208,C00002,CURRENT,INR,2024-06-21,LOW,ACTIVE
MT5000000294,C00003,SAVINGS,INR,2021-09-07,LOW,ACTIVE
MT5000000391,C00004,SAVINGS,INR,2021-12-08,LOW,ACTIVE
MT5000000408,C00004,CURRENT,INR,2021-01-24,LOW,ACTIVE
MT5000000448,C00005,SAVINGS,INR,2022-05-21,LOW,ACTIVE
MT5000000509,C00006,SAVINGS,INR,2024-12-03,MEDIUM,ACTIVE
MT5000000528,C00006,WALLET,INR,2024-10-10,MEDIUM,ACTIVE
MT5000000618,C00007,SAVINGS,INR,2021-01-29,LOW,ACTIVE
MT5000000660,C00008,SAVINGS,INR,2023-09-06,LOW,ACTIVE
MT5000000669,C00008,NRE,INR,2025-08-03,LOW,ACTIVE
MT5000000691,C00009,SAVINGS,INR,2024-08-21,LOW,ACTIVE
MT5000000769,C00009,WALLET,INR,2025-07-05,LOW,ACTIVE
MT5000000861,C00010,BUSINESS,INR,2021-10-03,LOW,ACTIVE
MT5000000933,C00010,CURRENT,INR,2021-10-12,LOW,ACTIVE
MT5000001009,C00011,SAVINGS,INR,2023-11-27,LOW,ACTIVE
MT5000001041,C00011,WALLET,INR,2025-05-01,MEDIUM,ACTIVE
MT5000001085,C00012,SAVINGS,INR,2025-01-20,MEDIUM,ACTIVE
MT5000001141,C00013,SAVINGS,INR,2023-01-16,LOW,ACTIVE
MT5000001211,C00013,WALLET,INR,2024-11-24,LOW,ACTIVE
MT5000001306,C00014,SAVINGS,INR,2021-01-01,LOW,ACTIVE
MT5000001369,C00014,CURRENT,INR,2023-08-17,LOW,ACTIVE
MT5000001426,C00015,SAVINGS,INR,2025-03-27,LOW,ACTIVE
MT5000001503,C00016,SAVINGS,INR,2025-08-12,LOW,ACTIVE
MT5000001580,C00016,NRE,INR,2024-05-21,LOW,ACTIVE
MT5000001592,C00017,BUSINESS,INR,2025-01-01,MEDIUM,ACTIVE
MT5000001667,C00017,CURRENT,INR,2022-08-28,MEDIUM,ACTIVE
MT5000001752,C00018,SAVINGS,INR,2025-05-21,LOW,ACTIVE
MT5000001790,C00018,NRE,INR,2022-10-09,LOW,ACTIVE
MT5000001878,C00019,SAVINGS,INR,2021-04-21,LOW,ACTIVE
