external_ref,full_name,national_id,date_of_birth,customer_type,country,kyc_risk_rating
C00001,Vivaan Thakkar,JHHEZ2424K,1998-12-05,RETAIL,IN,LOW
C00002,Bhandari Textiles,SVATG7873D,,BUSINESS,IN,LOW
C00003,Aarav Upadhyay,FYPLJ2674B,1980-03-13,RETAIL,IN,LOW
C00004,Nikhil Pillaiyar,JBZQT2291J,1983-12-17,RETAIL,IN,LOW
C00005,Priya Oberai,GYCBX2307D,1975-12-18,RETAIL,IN,LOW
C00006,Neha Quereshi,MFMMG3803J,1956-05-28,RETAIL,IN,LOW
C00007,Kavya Devraj,WYTHX4752A,1955-01-07,RETAIL,IN,LOW
C00008,Arjun Bhandari,UYLGW3340E,1991-03-02,RETAIL,IN,LOW
C00009,Omar Devraj,ZUPUN9348H,1962-05-30,RETAIL,IN,LOW
C00010,Sundaram Logistics,WFXPV8668J,,BUSINESS,IN,LOW
C00011,Aarav Raghunath,ZDXTJ2827E,1980-07-08,RETAIL,IN,LOW
C00012,Anika Mirchandan,FSDWK4258C,1995-07-19,RETAIL,IN,MEDIUM
C00013,Lakshmi Ashbury,AVLRA6038D,1982-07-26,RETAIL,IN,LOW
C00014,Sai Malhotri,ZRCTE3705E,1992-08-22,RETAIL,IN,LOW
C00015,Aadhya Ashbury,TZYGY8177J,1983-07-03,RETAIL,IN,LOW
C00016,Arjun Fernhill,AUTHU1964D,1956-05-15,RETAIL,IN,LOW
C00017,Fernhill Exports,SHJXR8744D,,BUSINESS,IN,LOW
C00018,Saanvi Sundaram,DXPMP2612A,1954-11-11,RETAIL,IN,LOW
C00019,Reyansh Castellan,GGTQE8579D,1974-12-28,RETAIL,IN,LOW
C00020,Venkatesh Auto Parts,DBWTA3724G,,BUSINESS,IN,HIGH
C00021,Tara Zaveri,BFNAN5673G,1990-10-27,RETAIL,IN,LOW
C00022,Elena Raghunath,YREGK9883A,1955-04-01,RETAIL,IN,LOW
C00023,Oberai Hardware Mart,SSFBS2122K,,BUSINESS,IN,LOW
C00024,Tara Sundaram,UHUVB9565F,1987-08-12,RETAIL,AE,LOW
C00025,Kabir Castellan,JNEXW2188A,1978-05-14,RETAIL,IN,LOW
C00026,Reyansh Malhotri,TGSJE5002F,1956-03-04,RETAIL,IN,MEDIUM
C00027,Omar Sethuram,KVWSA2697C,1976-11-10,RETAIL,IN,LOW
C00028,Elena Rathore,JKVGY9280H,1973-09-07,RETAIL,IN,LOW
