txn_ref,account_number,direction,amount,currency,counterparty_name,counterparty_account,counterparty_country,channel,jurisdiction,occurred_at
TXN0011637,MT5000038528,DEBIT,40646.64,INR,Cinema Plex,CP4819366636,IN,CARD,IN,2026-05-21T02:54:40Z
TXN0002623,MT5000008395,DEBIT,97743.82,INR,Ganeshan Logistics,CP5076150500,AE,NEFT,AE,2026-05-21T03:00:29Z
TXN0008034,MT5000026463,DEBIT,133373.65,INR,Yeshwant Logistics,CP8936600310,IN,IMPS,IN,2026-05-21T03:08:11Z
TXN0005681,MT5000018619,DEBIT,19296.50,INR,Cinema Plex,CP3184914084,IN,CARD,IN,2026-05-21T03:25:35Z
TXN0006648,MT5000021627,DEBIT,167598.88,INR,Malhotri Traders,CP4019473148,GB,CHEQUE,GB,2026-05-21T03:32:27Z
TXN0003159,MT5000010129,DEBIT,28416.58,INR,PhoneNet Telecom,CP8495571312,IN,UPI,IN,2026-05-21T03:45:21Z
TXN0003927,MT5000012572,DEBIT,36493.96,INR,RentPay Housing,CP1995939021,IN,CARD,IN,2026-05-21T03:53:06Z
TXN0000791,MT5000002651,CREDIT,7638.81,INR,FuelPoint,CP1636375771,IN,IMPS,IN,2026-05-21T04:01:56Z
TXN0000119,MT5000000408,DEBIT,28580.92,INR,BookWorld,CP5868824748,IN,IMPS,IN,2026-05-21T04:15:56Z
TXN0003657,MT5000011537,CREDIT,6944.00,INR,PhoneNet Telecom,CP8495091946,IN,CARD,IN,2026-05-21T04:16:53Z
TXN0009234,MT5000030266,DEBIT,34722.62,INR,RentPay Housing,CP8854038034,IN,CARD,IN,2026-05-21T04:29:44Z
TXN0001133,MT5000003881,CREDIT,137333.64,INR,Kulkarn Pharma Distributors,CP9347090313,IN,NEFT,IN,2026-05-21T04:30:23Z
TXN0004430,MT5000014157,DEBIT,17565.65,INR,PhoneNet Telecom,CP5015349173,IN,NEFT,IN,2026-05-21T04:35:21Z
TXN0002762,MT5000008709,DEBIT,25346.19,INR,School Fees Trust,CP1407192095,IN,UPI,IN,2026-05-21T04:51:15Z
TXN0007850,MT5000025578,DEBIT,35806.95,INR,School Fees Trust,CP1282705291,IN,UPI,IN,2026-05-21T04:53:50Z
TXN0011462,MT5000038056,DEBIT,56202.87,INR,Malhotri Jewellers,CP1302934796,IN,NEFT,IN,2026-05-21T05:05:56Z
TXN0007366,MT5000023966,DEBIT,25899.53,INR,Cinema Plex,CP2543361588,IN,UPI,IN,2026-05-21T05:20:17Z
TXN0009005,MT5000029600,CREDIT,96583.82,INR,Pillaiyar Agro Foods,CP6596664769,AE,NEFT,AE,2026-05-21T05:30:23Z
TXN0004497,MT5000014336,DEBIT,302.27,INR,Water Board,CP1663933429,IN,IMPS,IN,2026-05-21T05:59:34Z
TXN0009844,MT5000032331,DEBIT,24042.47,INR,RentPay Housing,CP1493985806,IN,NEFT,IN,2026-05-21T06:00:02Z
TXN0005688,MT5000018619,CREDIT,21209.96,INR,Grocery Mart,CP5742139201,IN,UPI,IN,2026-05-21T06:00:49Z
TXN0004353,MT5000014087,DEBIT,35715.48,INR,Apollo Pharmacy Store,CP3684939508,IN,UPI,IN,2026-05-21T06:01:16Z
TXN0008864,MT5000029120,CREDIT,44442.24,INR,PhoneNet Telecom,CP5888635716,US,CARD,US,2026-05-21T06:03:37Z
TXN0001504,MT5000005311,DEBIT,1112.36,INR,FuelPoint,CP7027153899,US,NEFT,US,2026-05-21T06:20:18Z
TXN0002539,MT5000008136,DEBIT,20378.75,INR,Swiggle Foods,CP3892308148,IN,UPI,IN,2026-05-21T06:38:34Z
TXN0006083,MT5000019999,DEBIT,24258.51,INR,Cloud Kitchen Co,CP6360780229,IN,IMPS,IN,2026-05-21T06:46:09Z
TXN0002825,MT5000009005,DEBIT,2311.81,INR,Hospital Billing,CP6934617493,IN,IMPS,IN,2026-05-21T06:56:39Z
TXN0002330,MT5000007476,DEBIT,39566.70,INR,Water Board,CP9788404502,IN,ATM,IN,2026-05-21T06:59:58Z
TXN0009825,MT5000032275,DEBIT,25304.52,INR,Hospital Billing,CP2974568427,IN,UPI,IN,2026-05-21T07:19:37Z
TXN0001959,MT5000006586,DEBIT,112698.74,INR,Castellan Traders,CP5197969872,IN,RTGS,IN,2026-05-21T07:20:49Z
TXN0005708,MT5000018670,CREDIT,136.36,USD,Metro Rail Card,CP5977490327,IN,CARD,IN,2026-05-21T07:23:17Z
TXN0002875,MT5000009142,DEBIT,39778.66,INR,Apollo Pharmacy Store,CP4116159748,IN,NEFT,IN,2026-05-21T07:26:47Z
TXN0002285,MT5000007347,DEBIT,109788.59,INR,Wadekar Hardware Mart,CP5029359711,IN,NEFT,IN,2026-05-21T07:35:42Z
TXN0009634,MT5000031661,DEBIT,6002.34,INR,City Power Board,CP1940577109,IN,NEFT,IN,2026-05-21T08:08:15Z
TXN0006350,MT5000020857,DEBIT,63751.10,INR,Castellan Exports,CP7852069133,AE,IMPS,AE,2026-05-21T08:08:53Z
TXN0003567,MT5000011317,CREDIT,8341.65,INR,City Power Board,CP9794197481,IN,NEFT,IN,2026-05-21T08:20:41Z
TXN0003252,MT5000010480,DEBIT,35366.28,INR,Water Board,CP6209182860,IN,UPI,IN,2026-05-21T08:28:31Z
TXN0009480,MT5000031153,DEBIT,33588.47,INR,Metro Rail Card,CP3743468066,IN,ATM,IN,2026-05-21T08:41:14Z
TXN0005893,MT5000019206,DEBIT,44145.56,INR,Cinema Plex,CP2443012605,IN,NEFT,IN,2026-05-21T08:52:15Z
TXN0002475,MT5000007973,DEBIT,12587.60,INR,Cloud Kitchen Co,CP7456747014,IN,UPI,IN,2026-05-21T08:59:06Z
