txn_ref,account_number,direction,amount,currency,counterparty_name,counterparty_account,counterparty_country,channel,jurisdiction,occurred_at
BAD0001,MT5000000014,SIDEWAYS,100.00,INR,,,IN,UPI,IN,2026-09-17T08:52:19Z
BAD0002,MT5000000014,DEBIT,-50.00,INR,,,IN,UPI,IN,2026-09-17T08:52:19Z
BAD0003,MT0000000000,DEBIT,100.00,INR,,,IN,UPI,IN,2026-09-17T08:52:19Z
BAD0004,MT5000000014,DEBIT,100.00,XYZ,,,IN,UPI,IN,2026-09-17T08:52:19Z
BAD0005,MT5000000014,DEBIT,100.00,INR,,,IN,UPI,IN,2026-09-22T06:53:37Z
BAD0006,MT5000000014,DEBIT,abc,INR,,,IN,UPI,IN,2026-09-17T08:52:19Z
BAD0007,MT5000000014,DEBIT,100.00,INR,,,IN,PIGEON,IN,2026-09-17T08:52:19Z
BAD0008,MT5000000014,DEBIT
GOOD0001,MT5000000014,DEBIT,1234.56,INR,Grocery Mart,,IN,UPI,IN,2026-09-17T08:52:19Z
GOOD0001,MT5000000014,DEBIT,1234.56,INR,Grocery Mart,,IN,UPI,IN,2026-09-17T08:52:19Z
